Nuclear physics,62.0,74.0,86.0,81.0,92.0,75.0,103.0,86.0,92.0,103.0,Physics and astronomy,Physical sciences and earth sciences
"Optics, photonics",148.0,164.0,145.0,165.0,165.0,174.0,194.0,216.0,225.0,197.0,Physics and astronomy,Physical sciences and earth sciences
"Plasma, high-temperature physics",59.0,58.0,50.0,83.0,66.0,71.0,83.0,88.0,79.0,65.0,Physics and astronomy,Physical sciences and earth sciences
Polymer physics,43.0,25.0,18.0,20.0,19.0,32.0,44.0,26.0,43.0,32.0,Physics and astronomy,Physical sciences and earth sciences
"Physics, general",159.0,211.0,213.0,189.0,241.0,192.0,230.0,285.0,356.0,248.0,Physics and astronomy,Physical sciences and earth sciences
"Physics, other",118.0,117.0,90.0,129.0,139.0,128.0,134.0,125.0,109.0,88.0,Physics and astronomy,Physical sciences and earth sciences
Computer science,1499.0,1361.0,1356.0,1393.0,1482.0,1568.0,1664.0,1658.0,1651.0,1587.0,Computer and information sciences,Mathematics and computer sciences
"Information science, systems",181.0,140.0,158.0,165.0,173.0,152.0,152.0,158.0,174.0,162.0,Computer and information sciences,Mathematics and computer sciences
"Computer and information sciences, general",na,na,na,na,na,na,94.0,117.0,161.0,123.0,Computer and information sciences,Mathematics and computer sciences
"Computer and information sciences, other",107.0,109.0,119.0,109.0,138.0,123.0,78.0,70.0,98.0,115.0,Computer and information sciences,Mathematics and computer sciences
Algebra,124.0,139.0,150.0,152.0,149.0,151.0,174.0,146.0,83.0,103.0,Mathematics and statistics,Mathematics and computer sciences
Analysis and functional analysis,112.0,130.0,143.0,145.0,134.0,159.0,137.0,161.0,97.0,78.0,Mathematics and statistics,Mathematics and computer sciences
Applied mathematics,360.0,382.0,401.0,432.0,462.0,455.0,476.0,435.0,474.0,477.0,Mathematics and statistics,Mathematics and computer sciences
Computing theory and practice,26.0,16.0,16.0,20.0,14.0,22.0,19.0,24.0,15.0,20.0,Mathematics and statistics,Mathematics and computer sciences
"Geometry, geometric analysis",100.0,89.0,104.0,120.0,112.0,119.0,120.0,108.0,52.0,63.0,Mathematics and statistics,Mathematics and computer sciences
Logic,25.0,38.0,22.0,17.0,15.0,33.0,26.0,21.0,14.0,15.0,Mathematics and statistics,Mathematics and computer sciences
Number theory,62.0,64.0,71.0,73.0,63.0,79.0,82.0,89.0,48.0,55.0,Mathematics and statistics,Mathematics and computer sciences
Operations research (mathematics),27.0,28.0,27.0,27.0,26.0,15.0,28.0,34.0,45.0,34.0,Mathematics and statistics,Mathematics and computer sciences
Statistics (mathematics),303.0,353.0,327.0,332.0,365.0,364.0,407.0,381.0,265.0,502.0,Mathematics and statistics,Mathematics and computer sciences
Topology and foundations,58.0,73.0,84.0,73.0,74.0,78.0,77.0,86.0,41.0,47.0,Mathematics and statistics,Mathematics and computer sciences
"Mathematics and statistics, general",140.0,173.0,163.0,143.0,192.0,234.0,235.0,243.0,686.0,394.0,Mathematics and statistics,Mathematics and computer sciences
"Mathematics and statistics, other",63.0,68.0,82.0,72.0,97.0,108.0,93.0,87.0,52.0,68.0,Mathematics and statistics,Mathematics and computer sciences
Behavioral analysis,na,na,na,na,44.0,54.0,51.0,63.0,65.0,51.0,Psychology,Psychology and social sciences
Clinical psychology,1142.0,1201.0,1151.0,1229.0,1228.0,1140.0,1220.0,1172.0,1217.0,1149.0,Psychology,Psychology and social sciences
Cognitive neuroscience,na,na,na,na,na,na,na,na,161.0,199.0,Psychology,Psychology and social sciences
Cognitive psychology and psycholinguistics,181.0,189.0,220.0,204.0,199.0,219.0,201.0,221.0,165.0,121.0,Psychology,Psychology and social sciences
Community psychology,na,na,na,na,na,na,na,na,34.0,38.0,Psychology,Psychology and social sciences
Comparative psychology,9.0,9.0,na,na,na,na,na,na,na,na,Psychology,Psychology and social sciences
Counseling,422.0,422.0,408.0,427.0,392.0,425.0,378.0,417.0,315.0,317.0,Psychology,Psychology and social sciences
